"","IDs","IDs_index"
"1","GSM1920348_9344730057_R05C02",1
"2","GSM1920349_8221924024_R03C02",2
"3","GSM1920350_9376525059_R01C01",3
"4","GSM1920351_9376525060_R01C02",4
"5","GSM1920352_8221916168_R06C01",5
"6","GSM1920353_8942297063_R04C02",6
"7","GSM1920354_9376525060_R03C01",7
"8","GSM1920355_8942297063_R01C02",8
"9","GSM1920356_8942297082_R03C02",9
"10","GSM1920357_8221916168_R01C02",10
"11","GSM1920358_9344730057_R06C02",11
"12","GSM1920359_8221916168_R06C02",12
"13","GSM1920360_7497398013_R03C01",13
"14","GSM1920361_8942297063_R06C02",14
"15","GSM1920362_8942297082_R04C01",15
"16","GSM1920363_8942297084_R04C02",16
"17","GSM1920364_8942297082_R02C01",17
"18","GSM1920365_9376525059_R04C01",18
"19","GSM1920366_8221924024_R06C02",19
"20","GSM1920367_9376525059_R05C02",20
"21","GSM1920368_9376525060_R05C01",21
"22","GSM1920369_9376525059_R03C02",22
"23","GSM1920370_8221924015_R02C01",23
"24","GSM1920371_8942297063_R05C02",24
"25","GSM1920372_8942297084_R02C01",25
"26","GSM1920373_8942297082_R01C01",26
"27","GSM1920374_8942297082_R04C02",27
"28","GSM1920375_8942297082_R05C02",28
"29","GSM1920376_8221924015_R03C01",29
"30","GSM1920377_9376525059_R05C01",30
"31","GSM1920378_9344730057_R06C01",31
"32","GSM1920379_8942297082_R06C02",32
"33","GSM1920380_8942297082_R03C01",33
"34","GSM1920381_3999941051_R06C02",34
"35","GSM1920382_8221924015_R04C01",35
"36","GSM1920383_8942297084_R03C01",36
"37","GSM1920384_8942297115_R06C01",37
"38","GSM1920385_9376525060_R01C01",38
"39","GSM1920386_8221916168_R05C02",39
"40","GSM1920387_7497398013_R06C01",40
"41","GSM1920388_9376525059_R02C02",41
"42","GSM1920389_8942297115_R02C01",42
"43","GSM1920390_8221924015_R01C02",43
"44","GSM1920391_8942297084_R06C02",44
"45","GSM1920392_8942297084_R06C01",45
"46","GSM1920393_8942297115_R05C01",46
"47","GSM1920394_8942297115_R03C02",47
"48","GSM1920395_8942297115_R04C01",48
"49","GSM1920396_8942297063_R04C01",49
"50","GSM1920397_9376525060_R06C01",50
"51","GSM1920398_9376525060_R02C01",51
"52","GSM1920399_8942297084_R05C01",52
"53","GSM1920400_8942297063_R05C01",53
"54","GSM1920405_7796806146_R05C02",54
"55","GSM1920406_7796806146_R06C02",55
"56","GSM1920407_7796806156_R03C01",56
"57","GSM1920408_7796806156_R02C01",57
"58","GSM1920409_8942297063_R02C02",58
"59","GSM1920410_8221924024_R05C01",59
"60","GSM1920411_7497398001_R04C02",60
"61","GSM1920412_8221924024_R01C01",61
"62","GSM1920413_8221924015_R05C02",62
"63","GSM1920414_8221924024_R06C01",63
"64","GSM1920415_7796806156_R01C01",64
"65","GSM1920416_8221924024_R04C01",65
"66","GSM1920417_8221924024_R01C02",66
"67","GSM1920418_8221924024_R02C02",67
"68","GSM1920419_8221924024_R02C01",68
"69","GSM1920420_9376525060_R02C02",69
"70","GSM1920421_7497398001_R05C02",70
"71","GSM1920422_8221924024_R03C01",71
"72","GSM1920423_8221924015_R04C02",72
"73","GSM1920427_9407210022_R05C01",73
"74","GSM1920428_9344730057_R04C01",74
"75","GSM1920429_9388306067_R02C02",75
"76","GSM1920430_9388306067_R01C01",76
"77","GSM1920431_9388306067_R04C02",77
"78","GSM1920432_9407210022_R03C02",78
"79","GSM1920433_9343114231_R01C02",79
"80","GSM1920434_9344730057_R05C01",80
"81","GSM1920435_9343114231_R04C02",81
"82","GSM1920436_9344730139_R02C01",82
"83","GSM1920437_9343114231_R02C01",83
"84","GSM1920438_9343114231_R05C02",84
"85","GSM1920439_9407210022_R03C01",85
"86","GSM1920440_9343114237_R06C02",86
"87","GSM1920441_9388306067_R06C01",87
"88","GSM1920442_9343114237_R01C02",88
"89","GSM1920443_9407210022_R05C02",89
"90","GSM1920444_9344730139_R05C02",90
"91","GSM1920445_9344730139_R06C02",91
"92","GSM1920446_8221924015_R06C01",92
"93","GSM1920447_8221916168_R03C02",93
"94","GSM1920448_8221916168_R04C02",94
"95","GSM1920449_8942297115_R03C01",95
"96","GSM1920450_3999834026_R06C02",96
"97","GSM1920451_8942297063_R01C01",97
"98","GSM1920452_8221924015_R05C01",98
"99","GSM1920453_9647450117_R01C02",99
"100","GSM1920454_8942297082_R01C02",100
"101","GSM1920455_8942297115_R01C01",101
"102","GSM1920456_8942297082_R05C01",102
"103","GSM1920457_7497398001_R06C02",103
"104","GSM1920458_8942297111_R05C02",104
"105","GSM1920459_8221924015_R03C02",105
"106","GSM1920460_9343114237_R04C02",106
"107","GSM1920461_9343114237_R02C01",107
"108","GSM1920462_9344730057_R03C01",108
"109","GSM1920463_9407210022_R02C01",109
"110","GSM1920464_9343114237_R01C01",110
"111","GSM1920465_9343114237_R05C02",111
"112","GSM1920466_9344730057_R02C01",112
"113","GSM1920467_9388306067_R03C02",113
"114","GSM1920468_9407210022_R02C02",114
"115","GSM1920469_9344730139_R01C01",115
